(R, 1)[0] => [[1, 0], [0, 0]]
(U, 10)[0] => [[208, -4], [208, -5]]
(U, 10)[0] => [[208, -3], [208, -4]]
(U, 10)[0] => [[208, -2], [208, -3]]
(U, 10)[0] => [[208, -1], [208, -2]]
(D, 8)[0] => [[208, -2], [208, -2]]
(D, 8)[0] => [[208, -3], [208, -2]]
(D, 8)[0] => [[208, -4], [208, -3]]
(D, 8)[0] => [[208, -5], [208, -4]]
(D, 8)[0] => [[208, -6], [208, -5]]
(D, 8)[0] => [[208, -7], [208, -6]]
(D, 8)[0] => [[208, -8], [208, -7]]
(D, 8)[0] => [[208, -9], [208, -8]]
(L, 1)[0] => [[207, -9], [208, -8]]
(D, 13)[0] => [[207, -10], [207, -9]]
(D, 13)[0] => [[207, -11], [207, -10]]
(D, 13)[0] => [[207, -12], [207, -11]]
(D, 13)[0] => [[207, -13], [207, -12]]
(D, 13)[0] => [[207, -14], [207, -13]]
(D, 13)[0] => [[207, -15], [207, -14]]
(D, 13)[0] => [[207, -16], [207, -15]]
(D, 13)[0] => [[207, -17], [207, -16]]
(D, 13)[0] => [[207, -18], [207, -17]]
(D, 13)[0] => [[207, -19], [207, -18]]
(D, 13)[0] => [[207, -20], [207, -19]]
(D, 13)[0] => [[207, -21], [207, -20]]
(D, 13)[0] => [[207, -22], [207, -21]]
(U, 2)[0] => [[207, -21], [207, -21]]
(U, 2)[0] => [[207, -20], [207, -21]]
(L, 3)[0] => [[206, -20], [207, -21]]
(L, 3)[0] => [[205, -20], [206, -20]]
(L, 3)[0] => [[204, -20], [205, -20]]
(U, 13)[0] => [[204, -19], [205, -20]]
(U, 13)[0] => [[204, -18], [204, -19]]
(U, 13)[0] => [[204, -17], [204, -18]]
(U, 13)[0] => [[204, -16], [204, -17]]
(U, 13)[0] => [[204, -15], [204, -16]]
(U, 13)[0] => [[204, -14], [204, -15]]
(U, 13)[0] => [[204, -13], [204, -14]]
(U, 13)[0] => [[204, -12], [204, -13]]
(U, 13)[0] => [[204, -11], [204, -12]]
(U, 13)[0] => [[204, -10], [204, -11]]
(U, 13)[0] => [[204, -9], [204, -10]]
(U, 13)[0] => [[204, -8], [204, -9]]
(U, 13)[0] => [[204, -7], [204, -8]]
(L, 12)[0] => [[203, -7], [204, -8]]
(L, 12)[0] => [[202, -7], [203, -7]]
(L, 12)[0] => [[201, -7], [202, -7]]
(L, 12)[0] => [[200, -7], [201, -7]]
(L, 12)[0] => [[199, -7], [200, -7]]
(L, 12)[0] => [[198, -7], [199, -7]]
(L, 12)[0] => [[197, -7], [198, -7]]
(L, 12)[0] => [[196, -7], [197, -7]]
(L, 12)[0] => [[195, -7], [196, -7]]
(L, 12)[0] => [[194, -7], [195, -7]]
(L, 12)[0] => [[193, -7], [194, -7]]
(L, 12)[0] => [[192, -7], [193, -7]]
(R, 3)[0] => [[193, -7], [193, -7]]
(R, 3)[0] => [[194, -7], [193, -7]]
(R, 3)[0] => [[195, -7], [194, -7]]
(L, 13)[0] => [[194, -7], [194, -7]]
(L, 13)[0] => [[193, -7], [194, -7]]
(L, 13)[0] => [[192, -7], [193, -7]]
(L, 13)[0] => [[191, -7], [192, -7]]
(L, 13)[0] => [[190, -7], [191, -7]]
(L, 13)[0] => [[189, -7], [190, -7]]
(L, 13)[0] => [[188, -7], [189, -7]]
(L, 13)[0] => [[187, -7], [188, -7]]
(L, 13)[0] => [[186, -7], [187, -7]]
(L, 13)[0] => [[185, -7], [186, -7]]
(L, 13)[0] => [[184, -7], [185, -7]]
(L, 13)[0] => [[183, -7], [184, -7]]
(L, 13)[0] => [[182, -7], [183, -7]]
(D, 5)[0] => [[182, -8], [183, -7]]
(D, 5)[0] => [[182, -9], [182, -8]]
(D, 5)[0] => [[182, -10], [182, -9]]
(D, 5)[0] => [[182, -11], [182, -10]]
(D, 5)[0] => [[182, -12], [182, -11]]
(R, 7)[0] => [[183, -12], [182, -11]]
(R, 7)[0] => [[184, -12], [183, -12]]
(R, 7)[0] => [[185, -12], [184, -12]]
(R, 7)[0] => [[186, -12], [185, -12]]
(R, 7)[0] => [[187, -12], [186, -12]]
(R, 7)[0] => [[188, -12], [187, -12]]
(R, 7)[0] => [[189, -12], [188, -12]]
(U, 7)[0] => [[189, -11], [188, -12]]
(U, 7)[0] => [[189, -10], [189, -11]]
(U, 7)[0] => [[189, -9], [189, -10]]
(U, 7)[0] => [[189, -8], [189, -9]]
(U, 7)[0] => [[189, -7], [189, -8]]
(U, 7)[0] => [[189, -6], [189, -7]]
(U, 7)[0] => [[189, -5], [189, -6]]
(R, 5)[0] => [[190, -5], [189, -6]]
(R, 5)[0] => [[191, -5], [190, -5]]
(R, 5)[0] => [[192, -5], [191, -5]]
(R, 5)[0] => [[193, -5], [192, -5]]
(R, 5)[0] => [[194, -5], [193, -5]]
(U, 14)[0] => [[194, -4], [193, -5]]
(U, 14)[0] => [[194, -3], [194, -4]]
(U, 14)[0] => [[194, -2], [194, -3]]
(U, 14)[0] => [[194, -1], [194, -2]]
(U, 14)[0] => [[194, 0], [194, -1]]
(U, 14)[0] => [[194, 1], [194, 0]]
(U, 14)[0] => [[194, 2], [194, 1]]
(U, 14)[0] => [[194, 3], [194, 2]]
(U, 14)[0] => [[194, 4], [194, 3]]
(U, 14)[0] => [[194, 5], [194, 4]]
(U, 14)[0] => [[194, 6], [194, 5]]
(U, 14)[0] => [[194, 7], [194, 6]]
(U, 14)[0] => [[194, 8], [194, 7]]
(U, 14)[0] => [[194, 9], [194, 8]]
(D, 12)[0] => [[194, 8], [194, 8]]
(D, 12)[0] => [[194, 7], [194, 8]]
(D, 12)[0] => [[194, 6], [194, 7]]
(D, 12)[0] => [[194, 5], [194, 6]]
(D, 12)[0] => [[194, 4], [194, 5]]
(D, 12)[0] => [[194, 3], [194, 4]]
(D, 12)[0] => [[194, 2], [194, 3]]
(D, 12)[0] => [[194, 1], [194, 2]]
(D, 12)[0] => [[194, 0], [194, 1]]
(D, 12)[0] => [[194, -1], [194, 0]]
(D, 12)[0] => [[194, -2], [194, -1]]
(D, 12)[0] => [[194, -3], [194, -2]]
(U, 3)[0] => [[194, -2], [194, -2]]
(U, 3)[0] => [[194, -1], [194, -2]]
(U, 3)[0] => [[194, 0], [194, -1]]
(D, 5)[0] => [[194, -1], [194, -1]]
(D, 5)[0] => [[194, -2], [194, -1]]
(D, 5)[0] => [[194, -3], [194, -2]]
(D, 5)[0] => [[194, -4], [194, -3]]
(D, 5)[0] => [[194, -5], [194, -4]]
(U, 12)[0] => [[194, -4], [194, -4]]
(U, 12)[0] => [[194, -3], [194, -4]]
(U, 12)[0] => [[194, -2], [194, -3]]
(U, 12)[0] => [[194, -1], [194, -2]]
(U, 12)[0] => [[194, 0], [194, -1]]
(U, 12)[0] => [[194, 1], [194, 0]]
(U, 12)[0] => [[194, 2], [194, 1]]
(U, 12)[0] => [[194, 3], [194, 2]]
(U, 12)[0] => [[194, 4], [194, 3]]
(U, 12)[0] => [[194, 5], [194, 4]]
(U, 12)[0] => [[194, 6], [194, 5]]
(U, 12)[0] => [[194, 7], [194, 6]]
(R, 11)[0] => [[195, 7], [194, 6]]
(R, 11)[0] => [[196, 7], [195, 7]]
(R, 11)[0] => [[197, 7], [196, 7]]
(R, 11)[0] => [[198, 7], [197, 7]]
(R, 11)[0] => [[199, 7], [198, 7]]
(R, 11)[0] => [[200, 7], [199, 7]]
(R, 11)[0] => [[201, 7], [200, 7]]
(R, 11)[0] => [[202, 7], [201, 7]]
(R, 11)[0] => [[203, 7], [202, 7]]
(R, 11)[0] => [[204, 7], [203, 7]]
(R, 11)[0] => [[205, 7], [204, 7]]
(L, 5)[0] => [[204, 7], [204, 7]]
(L, 5)[0] => [[203, 7], [204, 7]]
(L, 5)[0] => [[202, 7], [203, 7]]
(L, 5)[0] => [[201, 7], [202, 7]]
(L, 5)[0] => [[200, 7], [201, 7]]
(R, 10)[0] => [[201, 7], [201, 7]]
(R, 10)[0] => [[202, 7], [201, 7]]
(R, 10)[0] => [[203, 7], [202, 7]]
(R, 10)[0] => [[204, 7], [203, 7]]
(R, 10)[0] => [[205, 7], [204, 7]]
(R, 10)[0] => [[206, 7], [205, 7]]
(R, 10)[0] => [[207, 7], [206, 7]]
(R, 10)[0] => [[208, 7], [207, 7]]
(R, 10)[0] => [[209, 7], [208, 7]]
(R, 10)[0] => [[210, 7], [209, 7]]
(L, 1)[0] => [[209, 7], [209, 7]]
(U, 14)[0] => [[209, 8], [209, 7]]
(U, 14)[0] => [[209, 9], [209, 8]]
(U, 14)[0] => [[209, 10], [209, 9]]
(U, 14)[0] => [[209, 11], [209, 10]]
(U, 14)[0] => [[209, 12], [209, 11]]
(U, 14)[0] => [[209, 13], [209, 12]]
(U, 14)[0] => [[209, 14], [209, 13]]
(U, 14)[0] => [[209, 15], [209, 14]]
(U, 14)[0] => [[209, 16], [209, 15]]
(U, 14)[0] => [[209, 17], [209, 16]]
(U, 14)[0] => [[209, 18], [209, 17]]
(U, 14)[0] => [[209, 19], [209, 18]]
(U, 14)[0] => [[209, 20], [209, 19]]
(U, 14)[0] => [[209, 21], [209, 20]]
(D, 13)[0] => [[209, 20], [209, 20]]
(D, 13)[0] => [[209, 19], [209, 20]]
(D, 13)[0] => [[209, 18], [209, 19]]
(D, 13)[0] => [[209, 17], [209, 18]]
(D, 13)[0] => [[209, 16], [209, 17]]
(D, 13)[0] => [[209, 15], [209, 16]]
(D, 13)[0] => [[209, 14], [209, 15]]
(D, 13)[0] => [[209, 13], [209, 14]]
(D, 13)[0] => [[209, 12], [209, 13]]
(D, 13)[0] => [[209, 11], [209, 12]]
(D, 13)[0] => [[209, 10], [209, 11]]
(D, 13)[0] => [[209, 9], [209, 10]]
(D, 13)[0] => [[209, 8], [209, 9]]
(L, 2)[0] => [[208, 8], [209, 9]]
(L, 2)[0] => [[207, 8], [208, 8]]
(R, 2)[0] => [[208, 8], [208, 8]]
(R, 2)[0] => [[209, 8], [208, 8]]
(U, 5)[0] => [[209, 9], [208, 8]]
(U, 5)[0] => [[209, 10], [209, 9]]
(U, 5)[0] => [[209, 11], [209, 10]]
(U, 5)[0] => [[209, 12], [209, 11]]
(U, 5)[0] => [[209, 13], [209, 12]]
(R, 10)[0] => [[210, 13], [209, 12]]
(R, 10)[0] => [[211, 13], [210, 13]]
(R, 10)[0] => [[212, 13], [211, 13]]
(R, 10)[0] => [[213, 13], [212, 13]]
(R, 10)[0] => [[214, 13], [213, 13]]
(R, 10)[0] => [[215, 13], [214, 13]]
(R, 10)[0] => [[216, 13], [215, 13]]
(R, 10)[0] => [[217, 13], [216, 13]]
(R, 10)[0] => [[218, 13], [217, 13]]
(R, 10)[0] => [[219, 13], [218, 13]]
(U, 14)[0] => [[219, 14], [218, 13]]
(U, 14)[0] => [[219, 15], [219, 14]]
(U, 14)[0] => [[219, 16], [219, 15]]
(U, 14)[0] => [[219, 17], [219, 16]]
(U, 14)[0] => [[219, 18], [219, 17]]
(U, 14)[0] => [[219, 19], [219, 18]]
(U, 14)[0] => [[219, 20], [219, 19]]
(U, 14)[0] => [[219, 21], [219, 20]]
(U, 14)[0] => [[219, 22], [219, 21]]
(U, 14)[0] => [[219, 23], [219, 22]]
(U, 14)[0] => [[219, 24], [219, 23]]
(U, 14)[0] => [[219, 25], [219, 24]]
(U, 14)[0] => [[219, 26], [219, 25]]
(U, 14)[0] => [[219, 27], [219, 26]]
(D, 9)[0] => [[219, 26], [219, 26]]
(D, 9)[0] => [[219, 25], [219, 26]]
(D, 9)[0] => [[219, 24], [219, 25]]
(D, 9)[0] => [[219, 23], [219, 24]]
(D, 9)[0] => [[219, 22], [219, 23]]
(D, 9)[0] => [[219, 21], [219, 22]]
(D, 9)[0] => [[219, 20], [219, 21]]
(D, 9)[0] => [[219, 19], [219, 20]]
(D, 9)[0] => [[219, 18], [219, 19]]
(L, 13)[0] => [[218, 18], [219, 19]]
(L, 13)[0] => [[217, 18], [218, 18]]
(L, 13)[0] => [[216, 18], [217, 18]]
(L, 13)[0] => [[215, 18], [216, 18]]
(L, 13)[0] => [[214, 18], [215, 18]]
(L, 13)[0] => [[213, 18], [214, 18]]
(L, 13)[0] => [[212, 18], [213, 18]]
(L, 13)[0] => [[211, 18], [212, 18]]
(L, 13)[0] => [[210, 18], [211, 18]]
(L, 13)[0] => [[209, 18], [210, 18]]
(L, 13)[0] => [[208, 18], [209, 18]]
(L, 13)[0] => [[207, 18], [208, 18]]
(L, 13)[0] => [[206, 18], [207, 18]]
(R, 3)[0] => [[207, 18], [207, 18]]
(R, 3)[0] => [[208, 18], [207, 18]]
(R, 3)[0] => [[209, 18], [208, 18]]
(D, 5)[0] => [[209, 17], [208, 18]]
(D, 5)[0] => [[209, 16], [209, 17]]
(D, 5)[0] => [[209, 15], [209, 16]]
(D, 5)[0] => [[209, 14], [209, 15]]
(D, 5)[0] => [[209, 13], [209, 14]]
(L, 6)[0] => [[208, 13], [209, 14]]
(L, 6)[0] => [[207, 13], [208, 13]]
(L, 6)[0] => [[206, 13], [207, 13]]
(L, 6)[0] => [[205, 13], [206, 13]]
(L, 6)[0] => [[204, 13], [205, 13]]
(L, 6)[0] => [[203, 13], [204, 13]]
(D, 6)[0] => [[203, 12], [204, 13]]
(D, 6)[0] => [[203, 11], [203, 12]]
(D, 6)[0] => [[203, 10], [203, 11]]
(D, 6)[0] => [[203, 9], [203, 10]]
(D, 6)[0] => [[203, 8], [203, 9]]
(D, 6)[0] => [[203, 7], [203, 8]]
(R, 9)[0] => [[204, 7], [203, 8]]
(R, 9)[0] => [[205, 7], [204, 7]]
(R, 9)[0] => [[206, 7], [205, 7]]
(R, 9)[0] => [[207, 7], [206, 7]]
(R, 9)[0] => [[208, 7], [207, 7]]
(R, 9)[0] => [[209, 7], [208, 7]]
(R, 9)[0] => [[210, 7], [209, 7]]
(R, 9)[0] => [[211, 7], [210, 7]]
(R, 9)[0] => [[212, 7], [211, 7]]
(D, 3)[0] => [[212, 6], [211, 7]]
(D, 3)[0] => [[212, 5], [212, 6]]
(D, 3)[0] => [[212, 4], [212, 5]]
(R, 8)[0] => [[213, 4], [212, 5]]
(R, 8)[0] => [[214, 4], [213, 4]]
(R, 8)[0] => [[215, 4], [214, 4]]
(R, 8)[0] => [[216, 4], [215, 4]]
(R, 8)[0] => [[217, 4], [216, 4]]
(R, 8)[0] => [[218, 4], [217, 4]]
(R, 8)[0] => [[219, 4], [218, 4]]
(R, 8)[0] => [[220, 4], [219, 4]]
(D, 14)[0] => [[220, 3], [219, 4]]
(D, 14)[0] => [[220, 2], [220, 3]]
(D, 14)[0] => [[220, 1], [220, 2]]
(D, 14)[0] => [[220, 0], [220, 1]]
(D, 14)[0] => [[220, -1], [220, 0]]
(D, 14)[0] => [[220, -2], [220, -1]]
(D, 14)[0] => [[220, -3], [220, -2]]
(D, 14)[0] => [[220, -4], [220, -3]]
(D, 14)[0] => [[220, -5], [220, -4]]
(D, 14)[0] => [[220, -6], [220, -5]]
(D, 14)[0] => [[220, -7], [220, -6]]
(D, 14)[0] => [[220, -8], [220, -7]]
(D, 14)[0] => [[220, -9], [220, -8]]
(D, 14)[0] => [[220, -10], [220, -9]]
(L, 12)[0] => [[219, -10], [220, -9]]
(L, 12)[0] => [[218, -10], [219, -10]]
(L, 12)[0] => [[217, -10], [218, -10]]
(L, 12)[0] => [[216, -10], [217, -10]]
(L, 12)[0] => [[215, -10], [216, -10]]
(L, 12)[0] => [[214, -10], [215, -10]]
(L, 12)[0] => [[213, -10], [214, -10]]
(L, 12)[0] => [[212, -10], [213, -10]]
(L, 12)[0] => [[211, -10], [212, -10]]
(L, 12)[0] => [[210, -10], [211, -10]]
(L, 12)[0] => [[209, -10], [210, -10]]
(L, 12)[0] => [[208, -10], [209, -10]]
(D, 2)[0] => [[208, -11], [209, -10]]
(D, 2)[0] => [[208, -12], [208, -11]]
(L, 5)[0] => [[207, -12], [208, -11]]
(L, 5)[0] => [[206, -12], [207, -12]]
(L, 5)[0] => [[205, -12], [206, -12]]
(L, 5)[0] => [[204, -12], [205, -12]]
(L, 5)[0] => [[203, -12], [204, -12]]
(R, 2)[0] => [[204, -12], [204, -12]]
(R, 2)[0] => [[205, -12], [204, -12]]
(D, 3)[0] => [[205, -13], [204, -12]]
(D, 3)[0] => [[205, -14], [205, -13]]
(D, 3)[0] => [[205, -15], [205, -14]]
(R, 3)[0] => [[206, -15], [205, -14]]
(R, 3)[0] => [[207, -15], [206, -15]]
(R, 3)[0] => [[208, -15], [207, -15]]
(U, 13)[0] => [[208, -14], [207, -15]]
(U, 13)[0] => [[208, -13], [208, -14]]
(U, 13)[0] => [[208, -12], [208, -13]]
(U, 13)[0] => [[208, -11], [208, -12]]
(U, 13)[0] => [[208, -10], [208, -11]]
(U, 13)[0] => [[208, -9], [208, -10]]
(U, 13)[0] => [[208, -8], [208, -9]]
(U, 13)[0] => [[208, -7], [208, -8]]
(U, 13)[0] => [[208, -6], [208, -7]]
(U, 13)[0] => [[208, -5], [208, -6]]
(U, 13)[0] => [[208, -4], [208, -5]]
(U, 13)[0] => [[208, -3], [208, -4]]
(U, 13)[0] => [[208, -2], [208, -3]]
(R, 6)[0] => [[209, -2], [208, -3]]
(R, 6)[0] => [[210, -2], [209, -2]]
(R, 6)[0] => [[211, -2], [210, -2]]
(R, 6)[0] => [[212, -2], [211, -2]]
(R, 6)[0] => [[213, -2], [212, -2]]
(R, 6)[0] => [[214, -2], [213, -2]]
(U, 12)[0] => [[214, -1], [213, -2]]
(U, 12)[0] => [[214, 0], [214, -1]]
(U, 12)[0] => [[214, 1], [214, 0]]
(U, 12)[0] => [[214, 2], [214, 1]]
(U, 12)[0] => [[214, 3], [214, 2]]
(U, 12)[0] => [[214, 4], [214, 3]]
(U, 12)[0] => [[214, 5], [214, 4]]
(U, 12)[0] => [[214, 6], [214, 5]]
(U, 12)[0] => [[214, 7], [214, 6]]
(U, 12)[0] => [[214, 8], [214, 7]]
(U, 12)[0] => [[214, 9], [214, 8]]
(U, 12)[0] => [[214, 10], [214, 9]]
(L, 7)[0] => [[213, 10], [214, 9]]
(L, 7)[0] => [[212, 10], [213, 10]]
(L, 7)[0] => [[211, 10], [212, 10]]
(L, 7)[0] => [[210, 10], [211, 10]]
(L, 7)[0] => [[209, 10], [210, 10]]
(L, 7)[0] => [[208, 10], [209, 10]]
(L, 7)[0] => [[207, 10], [208, 10]]
(U, 8)[0] => [[207, 11], [208, 10]]
(U, 8)[0] => [[207, 12], [207, 11]]
(U, 8)[0] => [[207, 13], [207, 12]]
(U, 8)[0] => [[207, 14], [207, 13]]
(U, 8)[0] => [[207, 15], [207, 14]]
(U, 8)[0] => [[207, 16], [207, 15]]
(U, 8)[0] => [[207, 17], [207, 16]]
(U, 8)[0] => [[207, 18], [207, 17]]
(D, 1)[0] => [[207, 17], [207, 17]]
(R, 11)[0] => [[208, 17], [207, 17]]
(R, 11)[0] => [[209, 17], [208, 17]]
(R, 11)[0] => [[210, 17], [209, 17]]
(R, 11)[0] => [[211, 17], [210, 17]]
(R, 11)[0] => [[212, 17], [211, 17]]
(R, 11)[0] => [[213, 17], [212, 17]]
(R, 11)[0] => [[214, 17], [213, 17]]
(R, 11)[0] => [[215, 17], [214, 17]]
(R, 11)[0] => [[216, 17], [215, 17]]
(R, 11)[0] => [[217, 17], [216, 17]]
(R, 11)[0] => [[218, 17], [217, 17]]
(U, 11)[0] => [[218, 18], [217, 17]]
(U, 11)[0] => [[218, 19], [218, 18]]
(U, 11)[0] => [[218, 20], [218, 19]]
(U, 11)[0] => [[218, 21], [218, 20]]
(U, 11)[0] => [[218, 22], [218, 21]]
(U, 11)[0] => [[218, 23], [218, 22]]
(U, 11)[0] => [[218, 24], [218, 23]]
(U, 11)[0] => [[218, 25], [218, 24]]
(U, 11)[0] => [[218, 26], [218, 25]]
(U, 11)[0] => [[218, 27], [218, 26]]
(U, 11)[0] => [[218, 28], [218, 27]]
(R, 4)[0] => [[219, 28], [218, 27]]
(R, 4)[0] => [[220, 28], [219, 28]]
(R, 4)[0] => [[221, 28], [220, 28]]
(R, 4)[0] => [[222, 28], [221, 28]]
(U, 15)[0] => [[222, 29], [221, 28]]
(U, 15)[0] => [[222, 30], [222, 29]]
(U, 15)[0] => [[222, 31], [222, 30]]
(U, 15)[0] => [[222, 32], [222, 31]]
(U, 15)[0] => [[222, 33], [222, 32]]
(U, 15)[0] => [[222, 34], [222, 33]]
(U, 15)[0] => [[222, 35], [222, 34]]
(U, 15)[0] => [[222, 36], [222, 35]]
(U, 15)[0] => [[222, 37], [222, 36]]
(U, 15)[0] => [[222, 38], [222, 37]]
(U, 15)[0] => [[222, 39], [222, 38]]
(U, 15)[0] => [[222, 40], [222, 39]]
(U, 15)[0] => [[222, 41], [222, 40]]
(U, 15)[0] => [[222, 42], [222, 41]]
(U, 15)[0] => [[222, 43], [222, 42]]
(R, 9)[0] => [[223, 43], [222, 42]]
(R, 9)[0] => [[224, 43], [223, 43]]
(R, 9)[0] => [[225, 43], [224, 43]]
(R, 9)[0] => [[226, 43], [225, 43]]
(R, 9)[0] => [[227, 43], [226, 43]]
(R, 9)[0] => [[228, 43], [227, 43]]
(R, 9)[0] => [[229, 43], [228, 43]]
(R, 9)[0] => [[230, 43], [229, 43]]
(R, 9)[0] => [[231, 43], [230, 43]]
(U, 10)[0] => [[231, 44], [230, 43]]
(U, 10)[0] => [[231, 45], [231, 44]]
(U, 10)[0] => [[231, 46], [231, 45]]
(U, 10)[0] => [[231, 47], [231, 46]]
(U, 10)[0] => [[231, 48], [231, 47]]
(U, 10)[0] => [[231, 49], [231, 48]]
(U, 10)[0] => [[231, 50], [231, 49]]
(U, 10)[0] => [[231, 51], [231, 50]]
(U, 10)[0] => [[231, 52], [231, 51]]
(U, 10)[0] => [[231, 53], [231, 52]]
(R, 2)[0] => [[232, 53], [231, 52]]
(R, 2)[0] => [[233, 53], [232, 53]]
(L, 13)[0] => [[232, 53], [232, 53]]
(L, 13)[0] => [[231, 53], [232, 53]]
(L, 13)[0] => [[230, 53], [231, 53]]
(L, 13)[0] => [[229, 53], [230, 53]]
(L, 13)[0] => [[228, 53], [229, 53]]
(L, 13)[0] => [[227, 53], [228, 53]]
(L, 13)[0] => [[226, 53], [227, 53]]
(L, 13)[0] => [[225, 53], [226, 53]]
(L, 13)[0] => [[224, 53], [225, 53]]
(L, 13)[0] => [[223, 53], [224, 53]]
(L, 13)[0] => [[222, 53], [223, 53]]
(L, 13)[0] => [[221, 53], [222, 53]]
(L, 13)[0] => [[220, 53], [221, 53]]
(D, 8)[0] => [[220, 52], [221, 53]]
(D, 8)[0] => [[220, 51], [220, 52]]
(D, 8)[0] => [[220, 50], [220, 51]]
(D, 8)[0] => [[220, 49], [220, 50]]
(D, 8)[0] => [[220, 48], [220, 49]]
(D, 8)[0] => [[220, 47], [220, 48]]
(D, 8)[0] => [[220, 46], [220, 47]]
(D, 8)[0] => [[220, 45], [220, 46]]
(R, 5)[0] => [[221, 45], [220, 46]]
(R, 5)[0] => [[222, 45], [221, 45]]
(R, 5)[0] => [[223, 45], [222, 45]]
(R, 5)[0] => [[224, 45], [223, 45]]
(R, 5)[0] => [[225, 45], [224, 45]]
(U, 9)[0] => [[225, 46], [224, 45]]
(U, 9)[0] => [[225, 47], [225, 46]]
(U, 9)[0] => [[225, 48], [225, 47]]
(U, 9)[0] => [[225, 49], [225, 48]]
(U, 9)[0] => [[225, 50], [225, 49]]
(U, 9)[0] => [[225, 51], [225, 50]]
(U, 9)[0] => [[225, 52], [225, 51]]
(U, 9)[0] => [[225, 53], [225, 52]]
(U, 9)[0] => [[225, 54], [225, 53]]
(D, 8)[0] => [[225, 53], [225, 53]]
(D, 8)[0] => [[225, 52], [225, 53]]
(D, 8)[0] => [[225, 51], [225, 52]]
(D, 8)[0] => [[225, 50], [225, 51]]
(D, 8)[0] => [[225, 49], [225, 50]]
(D, 8)[0] => [[225, 48], [225, 49]]
(D, 8)[0] => [[225, 47], [225, 48]]
(D, 8)[0] => [[225, 46], [225, 47]]
(L, 13)[0] => [[224, 46], [225, 47]]
(L, 13)[0] => [[223, 46], [224, 46]]
(L, 13)[0] => [[222, 46], [223, 46]]
(L, 13)[0] => [[221, 46], [222, 46]]
(L, 13)[0] => [[220, 46], [221, 46]]
(L, 13)[0] => [[219, 46], [220, 46]]
(L, 13)[0] => [[218, 46], [219, 46]]
(L, 13)[0] => [[217, 46], [218, 46]]
(L, 13)[0] => [[216, 46], [217, 46]]
(L, 13)[0] => [[215, 46], [216, 46]]
(L, 13)[0] => [[214, 46], [215, 46]]
(L, 13)[0] => [[213, 46], [214, 46]]
(L, 13)[0] => [[212, 46], [213, 46]]
(U, 3)[0] => [[212, 47], [213, 46]]
(U, 3)[0] => [[212, 48], [212, 47]]
(U, 3)[0] => [[212, 49], [212, 48]]
(D, 4)[0] => [[212, 48], [212, 48]]
(D, 4)[0] => [[212, 47], [212, 48]]
(D, 4)[0] => [[212, 46], [212, 47]]
(D, 4)[0] => [[212, 45], [212, 46]]
(L, 10)[0] => [[211, 45], [212, 46]]
(L, 10)[0] => [[210, 45], [211, 45]]
(L, 10)[0] => [[209, 45], [210, 45]]
(L, 10)[0] => [[208, 45], [209, 45]]
(L, 10)[0] => [[207, 45], [208, 45]]
(L, 10)[0] => [[206, 45], [207, 45]]
(L, 10)[0] => [[205, 45], [206, 45]]
(L, 10)[0] => [[204, 45], [205, 45]]
(L, 10)[0] => [[203, 45], [204, 45]]
(L, 10)[0] => [[202, 45], [203, 45]]
(R, 7)[0] => [[203, 45], [203, 45]]
(R, 7)[0] => [[204, 45], [203, 45]]
(R, 7)[0] => [[205, 45], [204, 45]]
(R, 7)[0] => [[206, 45], [205, 45]]
(R, 7)[0] => [[207, 45], [206, 45]]
(R, 7)[0] => [[208, 45], [207, 45]]
(R, 7)[0] => [[209, 45], [208, 45]]
(D, 15)[0] => [[209, 44], [208, 45]]
(D, 15)[0] => [[209, 43], [209, 44]]
(D, 15)[0] => [[209, 42], [209, 43]]
(D, 15)[0] => [[209, 41], [209, 42]]
(D, 15)[0] => [[209, 40], [209, 41]]
(D, 15)[0] => [[209, 39], [209, 40]]
(D, 15)[0] => [[209, 38], [209, 39]]
(D, 15)[0] => [[209, 37], [209, 38]]
(D, 15)[0] => [[209, 36], [209, 37]]
(D, 15)[0] => [[209, 35], [209, 36]]
(D, 15)[0] => [[209, 34], [209, 35]]
(D, 15)[0] => [[209, 33], [209, 34]]
(D, 15)[0] => [[209, 32], [209, 33]]
(D, 15)[0] => [[209, 31], [209, 32]]
(D, 15)[0] => [[209, 30], [209, 31]]
(R, 14)[0] => [[210, 30], [209, 31]]
(R, 14)[0] => [[211, 30], [210, 30]]
(R, 14)[0] => [[212, 30], [211, 30]]
(R, 14)[0] => [[213, 30], [212, 30]]
(R, 14)[0] => [[214, 30], [213, 30]]
(R, 14)[0] => [[215, 30], [214, 30]]
(R, 14)[0] => [[216, 30], [215, 30]]
(R, 14)[0] => [[217, 30], [216, 30]]
(R, 14)[0] => [[218, 30], [217, 30]]
(R, 14)[0] => [[219, 30], [218, 30]]
(R, 14)[0] => [[220, 30], [219, 30]]
(R, 14)[0] => [[221, 30], [220, 30]]
(R, 14)[0] => [[222, 30], [221, 30]]
(R, 14)[0] => [[223, 30], [222, 30]]
(U, 6)[0] => [[223, 31], [222, 30]]
(U, 6)[0] => [[223, 32], [223, 31]]
(U, 6)[0] => [[223, 33], [223, 32]]
(U, 6)[0] => [[223, 34], [223, 33]]
(U, 6)[0] => [[223, 35], [223, 34]]
(U, 6)[0] => [[223, 36], [223, 35]]
(L, 13)[0] => [[222, 36], [223, 35]]
(L, 13)[0] => [[221, 36], [222, 36]]
(L, 13)[0] => [[220, 36], [221, 36]]
